Red Fighter,Blue Fighter,Predicted Result,Probability
Mateusz Gamrot,Beneil Dariush,loss,0.6457996271165393
Sean O'Malley,Petr Yan,win,0.5730362128539572
TJ Dillashaw,Aljamain Sterling,loss,0.6547327404627132
Islam Makhachev,Charles Oliveira,win,0.6256739860959221
Steve Garcia,Chase Hooper,win,0.557310943673823
JunYong Park,Joseph Holmes,win,0.5227700490426668
Marcos Rogerio de Lima,Andrei Arlovski,win,0.6607549639444359
Roman Dolidze,Phil Hawes,loss,0.7018404257864477
Khalil Rountree Jr.,Dustin Jacoby,loss,0.7578734270071602
Max Griffin,Tim Means,win,0.5094938902133362
Arnold Allen,Calvin Kattar,win,0.6847433450256742
Benito Lopez,Mario Bautista,loss,0.7229029707048777
Mark Madsen,Grant Dawson,loss,0.6719641709062282
Nate Maness,Tagir Ulanbekov,loss,0.6614005525712144
Shayilan Nuerdanbieke,Darrick Minner,loss,0.5698897451855012
Daniel Rodriguez,Neil Magny,win,0.5541499320615455
Nicolae Negumereanu,Carlos Ulberg,loss,0.7462466533017331
Montel Jackson,Julio Arce,win,0.5475560628354191
SeungWoo Choi,Michael Trizano,loss,0.5572073165059779
Ottman Azaitar,Matt Frevola,win,0.5692171295000457
Wellington Turman,Andre Petroski,loss,0.6467674773255848
Ryan Spann,Dominick Reyes,loss,0.5925943749286896
Renato Moicano,Brad Riddell,loss,0.5579235017544335
Claudio Puelles,Dan Hooker,win,0.49979899034654846
Chris Gutierrez,Frankie Edgar,win,0.6676385856046791
Michael Chandler,Dustin Poirier,loss,0.5959385502331357
Alex Pereira,Israel Adesanya,loss,0.5505886790247531
Kevin Natividad,Ricky Turcios,loss,0.5982823857391012
Miles Johns,Vince Morales,win,0.554530275098808
Danny Roberts,Jack Della Maddalena,loss,0.7073922775244147
Muslim Salikhov,Andre Fialho,win,0.5431976965838828
Ion Cutelaba,Kennedy Nzechukwu,loss,0.6364753962503933
Jonathan Pearce,Darren Elkins,win,0.7505022677184716
Marc Diakiese,Michael Johnson,win,0.6125111726613235
Scott Holtzman,Clay Guida,win,0.661465644096386
Phil Rowe,Niko Price,loss,0.5227287065639504
Kyle Daukaus,Eryk Anders,win,0.5713689652680156
Roman Dolidze,Jack Hermansson,loss,0.6104959113206666
Sergei Pavlovich,Tai Tuivasa,win,0.5932078094661678
Matt Schnell,Matheus Nicolau,loss,0.6213518187107694
Rafael Dos Anjos,Bryan Barberena,win,0.5737544883104149
Kevin Holland,Stephen Thompson,win,0.5255746491201175
Alexander Hernandez,Billy Quarantillo,loss,0.5424021521750754
Joaquin Buckley,Chris Curtis,win,0.6010712252239644
Dalcha Lungiambula,Edmen Shahbazyan,loss,0.7534409015747103
Chris Daukaus,Jairzinho Rozenstruik,loss,0.5350075263294507
Ilia Topuria,Bryce Mitchell,loss,0.6704726074370216
Dricus Du Plessis,Darren Till,win,0.7530128149281077
Alex Morono,Santiago Ponzinibbio,loss,0.5083628937734495
Jared Gordon,Paddy Pimblett,win,0.6431512140212484
Magomed Ankalaev,Jan Blachowicz,win,0.6596021027077218
Journey Newson,Sergey Morozov,loss,0.5701688101488005
Manel Kape,David Dvorak,win,0.506676344829285
Saidyokub Kakhramonov,Said Nurmagomedov,win,0.5462750189165718
Matthew Semelsberger,Jake Matthews,loss,0.6627949855731327
Michal Oleksiejczuk,Cody Brundage,loss,0.5202475827383919
Bobby Green,Drew Dober,win,0.639246535469397
